1.24138,-2.36786,1.0886,-2.36205,0.89954,-1.62942,0.681397,-1.66165,0.0976562,-0.40625,0.714844,-0.589844,0.365116,0.317232,9.63427,0.750129,0.00699485,-0.0282215,-0.660652,0.0478276,100,33,0.3
1.25385,-2.39088,1.09786,-2.38506,0.611007,-1.10075,0.454243,-1.1192,0.640625,0,0.640625,-0.628906,0.379481,0.53271,9.14346,0.749943,0.00741787,-0.0286251,-0.660842,0.0490058,100,33,0.018
1.2616,-2.40581,1.10416,-2.40016,0.336982,-0.630314,0.262157,-0.641478,0.492188,-0.0351562,0.195312,-0.0703125,0.266953,0.53271,9.06684,0.74976,0.00801793,-0.0287089,-0.661038,0.0500255,100,33,0.0186
1.26142,-2.40658,1.10634,-2.40101,-0.0512272,0.0666158,0.0803152,0.056304,0.292969,1.03516,0.367188,0.738281,0.199916,0.432153,9.05008,0.749588,0.00894273,-0.0284839,-0.661231,0.0511222,100,32,0.0187
1.25252,-2.38664,1.10525,-2.38413,-0.477301,1.07581,-0.0775567,0.913681,0.171875,1.44531,0.195312,1.07422,0.0969652,0.453701,9.2081,0.749431,0.0100298,-0.0279266,-0.661418,0.0520203,100,32,0.0186
1.23223,-2.34122,1.10035,-2.3474,-1.04431,2.33657,-0.25641,1.87474,0.046875,1.62891,0.492188,1.37109,0.112527,0.667982,9.96108,0.749237,0.0111781,-0.0268686,-0.661663,0.0523468,100,33,0.0186
1.193,-2.25446,1.09096,-2.27304,-1.82006,3.93076,-0.420544,3.39513,0.292969,2.1875,0.171875,1.33203,-0.260968,0.661997,9.01776,0.749037,0.0126413,-0.0257056,-0.661908,0.0530045,100,33,0.0185
1.14092,-2.13404,1.07364,-2.1749,-2.50667,5.89109,-0.870427,4.75685,-0.246094,1.59375,0.121094,2.44531,-0.104148,0.45011,9.67018,0.748883,0.0142015,-0.024283,-0.662104,0.05346,100,32,0.0183
1.06571,-1.97821,1.03652,-2.03142,-3.67376,7.49287,-1.86898,7.00579,0.121094,0.703125,0.046875,3.59766,-0.808043,0.37589,9.52174,0.748785,0.0161789,-0.0219974,-0.662251,0.0533935,100,33,0.0187
0.983293,-1.82311,0.981234,-1.84152,-4.33558,8.01038,-2.95083,10.0034,0.246094,1.51953,0.542969,0,-1.15161,0.638055,10.0688,0.748712,0.0188282,-0.0187337,-0.662363,0.053036,100,33,0.017
0.898455,-1.66861,0.911656,-1.63341,-4.40562,7.71275,-3.59611,10.5725,0.0703125,0.257812,-0.171875,-0.144531,-0.834379,0.384269,9.001,0.748617,0.0219192,-0.0154437,-0.66246,0.0533061,100,32,0.017
0.818644,-1.5278,0.845228,-1.44674,-4.0847,7.14817,-3.35356,9.33188,1.01172,-0.925781,1.03516,-0.144531,0.144849,0.586579,8.11994,0.748457,0.024396,-0.012504,-0.662617,0.0531192,100,32,0.017
